N,nbFun,estParam,counteval,success,nbSplit,nbMerge,dt,ft,cdiv,recovery,tooYoung,mud,maxV
2, 0, recovery, 306.000000, 1, 3, 1, 0.635531, 0.402768, 0.500000, 0, 10, 1, 4
2, 0, recovery, 198.000000, 1, 3, 1, 0.635531, 0.402768, 0.500000, 0, 10, 1, 4
2, 0, recovery, 198.000000, 1, 3, 1, 0.635531, 0.402768, 0.500000, 0, 10, 1, 4
4, 0, recovery, 1032.000000, 1, 0, 0, 1.120734, 0.422144, 0.500000, 0, 10, 2, 6
2, 0, recovery, 198.000000, 1, 3, 1, 0.635531, 0.402768, 0.500000, 0, 10, 1, 4
2, 0, recovery, 198.000000, 1, 3, 1, 0.635531, 0.402768, 0.500000, 0, 10, 1, 4
2, 0, recovery, 198.000000, 1, 3, 1, 0.635531, 0.402768, 0.500000, 0, 10, 1, 4
4, 0, recovery, 1032.000000, 1, 0, 0, 1.120734, 0.422144, 0.500000, 0, 10, 2, 6
3, 0, recovery, 735.000000, 1, 0, 0, 0.919356, 0.409342, 0.500000, 0, 10, 1, 5
2, 0, recovery, 198.000000, 1, 3, 1, 0.635531, 0.402768, 0.500000, 0, 10, 1, 4
2, 0, recovery, 198.000000, 1, 3, 1, 0.635531, 0.402768, 0.500000, 0, 10, 1, 4
2, 0, recovery, 306.000000, 1, 3, 1, 0.635531, 0.402768, 0.500000, 0, 10, 1, 4
4, 0, recovery, 1032.000000, 1, 0, 0, 1.120734, 0.422144, 0.500000, 0, 10, 2, 6
4, 0, recovery, 1032.000000, 1, 0, 0, 1.120734, 0.422144, 0.500000, 0, 10, 2, 6
3, 0, recovery, 511.000000, 1, 1, 1, 0.919356, 0.409342, 0.500000, 0, 10, 1, 5
3, 0, recovery, 511.000000, 1, 1, 1, 0.919356, 0.409342, 0.500000, 0, 10, 1, 5
4, 0, recovery, 1032.000000, 1, 0, 0, 1.120734, 0.422144, 0.500000, 0, 10, 2, 6
2, 0, recovery, 306.000000, 1, 3, 1, 0.635531, 0.402768, 0.500000, 0, 10, 1, 4
2, 0, recovery, 306.000000, 1, 3, 1, 0.635531, 0.402768, 0.500000, 0, 10, 1, 4
3, 0, recovery, 511.000000, 1, 1, 1, 0.919356, 0.409342, 0.500000, 0, 10, 1, 5
